participant,group,orientation,region,view size,prefers_dark,n pairs,duration,bg_mean,bg_sd,bg_median,bg_quartile,bg_box_plot,bg_bar_chart,bg_scatter_plot,bg_regression,Wasserstein spearman
Pc311ee814b83a,friends,vertical,North America,large,false,85,15.9333333333333,3,3,3,3,3,3,3,3,0.321301250955308
Pc129603b3b715,prolific,vertical,Africa,small,false,100,4.91666666666667,1,1,2,3,3,3,2,3,0.0406086676147223
Pccde367bb38388,prolific,vertical,Africa,large,false,100,10.7666666666667,1,1,1,3,3,3,3,3,0.0201748995558533
Pced3b66778716,prolific,vertical,Africa,small,true,100,13.9166666666667,2,3,2,3,3,3,3,2,0.0761178120197376
Pcf26fd8536142,prolific,vertical,Africa,large,true,100,8.81666666666669,3,3,3,3,3,3,3,3,0.101543518810815
Pcfa4496f7381,friends,horizontal,Europe,small,true,95,10.5666666666667,3,3,3,3,3,3,3,3,0.487375160651181
Pd04d39417e1038,friends,horizontal,Europe,small,false,95,7.64999999999999,3,2,3,3,2,3,3,2,0.421750969118193
Pd1e28916f5c068,friends,horizontal,North America,large,false,95,8.14999999999999,3,3,3,3,3,3,3,3,0.71274678388607
Pd50c4b7d832bc8,friends,vertical,North America,small,false,95,11.6166666666667,3,3,3,3,3,3,3,3,0.546507093570137
Pdab1742e56b398,friends,horizontal,North America,large,true,95,26.3666666666667,3,2,3,2,2,3,3,1,0.393213284256426
Pdb67bb1b42405,prolific,vertical,Europe,medium,true,100,11.4666666666667,3,2,3,1,2,3,1,2,0.0343901192219058
Pdc586fb7d59838,prolific,vertical,Europe,large,false,100,23.6666666666667,2,2,2,1,2,2,2,1,0.407117721656396
Pdd8e21ea08756,prolific,vertical,Europe,large,false,100,6.66666666666666,2,2,2,2,2,2,2,2,-0.440775655190735
Pde142cc94d978,prolific,vertical,Africa,large,false,100,9.35000000000002,1,2,2,3,2,3,1,3,0.125544909646595
Pe006ee07dd31b8,friends,vertical,Europe,small,false,95,,3,3,3,3,3,3,3,3,0.603952414666317
Pe1b1bd5bf53798,friends,horizontal,North America,small,true,95,12.6833333333333,3,2,3,3,3,3,3,2,0.681117491060157
Pe8b26295f4a8a8,prolific,vertical,Africa,large,true,100,12.0333333333333,3,3,3,3,3,3,3,3,0.0798504996544656
Pe8f8f74d797778,prolific,vertical,Europe,large,false,100,8.38333333333333,2,1,2,1,2,3,2,1,0.101747318397345
Pe9cdff2c9b6748,friends,vertical,North America,large,true,88,,3,3,3,3,3,3,3,3,0.600868348264212
Pe34ee0ef0ac998,prolific,vertical,Europe,large,true,100,10.2166666666667,2,2,2,2,1,2,1,2,0.182737943916539
Pe37e151154f6f,self,vertical,North America,large,false,100,4.71666666666666,3,3,3,3,3,3,3,3,0.704529806715287
Pe95ed3bffd58e8,prolific,vertical,Europe,large,true,100,7.88333333333333,1,1,2,1,1,2,1,2,0.289859024923494
Pe4578aca62ad28,prolific,vertical,Africa,medium,false,100,12.25,3,3,3,3,3,3,3,3,0.0848899164760155
Pe7426bac029ed,prolific,vertical,Other,large,false,100,15.5666666666667,2,2,2,2,2,2,2,2,0.159610751054419
Peb0360007d8c88,prolific,vertical,Europe,large,false,100,6.03333333333334,3,3,3,2,2,3,2,2,0.278321577023071
Pebc545873956,prolific,vertical,Africa,large,false,100,9.46666666666667,3,3,3,3,3,3,3,3,0.0488012533532147
Peda4eaa6323bf,prolific,vertical,Central/South America,large,false,100,8.35000000000002,3,2,2,2,2,3,2,2,0.528529506352889
Pefcc3ed53ea48,prolific,vertical,Europe,small,false,100,4.94999999999999,2,2,2,2,2,2,2,2,0.106005753404224
Pf0a191758f1df8,prolific,vertical,Africa,large,false,100,7.14999999999999,3,3,3,3,3,3,3,3,-0.130718707634683
Pf032ca895b3998,prolific,vertical,Africa,large,true,100,7.63333333333333,3,3,3,3,3,3,3,3,-0.0191881239360541
Pf2ea846e424798,prolific,vertical,Africa,large,true,100,22.3166666666667,3,3,3,3,3,3,3,3,0.304946522728027
Pf6edc10fc04b48,prolific,vertical,Africa,large,true,100,15.85,3,3,3,3,3,2,2,2,0.174626857896682
Pf8a7201296bcc,friends,vertical,Central/South America,small,true,95,7.68333333333332,3,3,3,3,3,3,3,3,0.566153851791667
Pf70bb4969a3f8,prolific,vertical,North America,large,false,100,20.5333333333333,3,3,3,3,3,3,3,3,0.416779279646356
Pf86c1918d5d81,prolific,vertical,Africa,large,false,100,9.16666666666665,3,2,3,3,2,3,3,3,0.0982154543059947
Pf955d46f5e6198,self,vertical,North America,large,false,100,6.03333333333334,3,3,3,3,3,3,3,3,0.652978076963402
Pf7706dbfcb24c,prolific,vertical,Africa,large,true,100,10.6333333333333,3,3,3,2,2,3,3,1,0.214758136191255
Pf30713b0a8155,prolific,vertical,Africa,large,false,100,14.3666666666666,2,1,2,2,2,1,2,2,-0.064257712209347
Pf94999c6832b8,self,vertical,North America,large,false,100,5.89999999999999,3,3,3,3,3,3,3,3,0.602201454897802
Pf804106c45f72,prolific,vertical,Africa,large,false,100,8.96666666666667,3,3,3,3,1,3,3,2,-0.00298879687802358
