participant,trial_index,chart category,chart name,has dots,has median,jitter,group,response time (s),rating,location pvalue,spread pvalue,nonnormality pvalue,Kolmogorov-Smirnov distance,Wasserstein distance,Wasserstein spearman
P49c7f8cc96f5a,18,Box,box plot,0,1,wilkinson,prolific,3.563,3,0.000668425286098007,0.819806807859335,0.222292123419165,0.34,0.4285,0.467546802371811
P49c7f8cc96f5a,19,Violin,violin plot with dots,1,0,wilkinson,prolific,2.083,4,0.31240015582326,0.00261221711383319,0.321800493167164,0.2,0.393510324483776,0.467546802371811
P49c7f8cc96f5a,20,Bands,density bands 50-90-99,0,0,beeswarm,prolific,2.43,3,0.0800591610738053,0.82251396707158,0.167587196833194,0.18,0.263574144486692,0.467546802371811
P49c7f8cc96f5a,21,Box,box plot,0,1,beeswarm,prolific,2.48,1,0.849720471663759,0.107368439070093,0.214321798970098,0.12,0.106260257913247,0.467546802371811
P49c7f8cc96f5a,22,Box,box plot with dots,1,1,density random,prolific,3.917,2,0.00000392831323003939,0.322712348595712,0.309222698642259,0.42,0.678615384615384,0.467546802371811
P49c7f8cc96f5a,23,Box,box plot,0,1,wilkinson,prolific,2.401,2,0.0000282283630532731,0.55326397167213,0.704555898195705,0.42,0.539861111111111,0.467546802371811
P49c7f8cc96f5a,24,Dot,dot plot with median,1,1,beeswarm,prolific,7.698,3,0.0000319239346109335,0.170604337201603,0.664352553412473,0.38,0.523061224489796,0.467546802371811
P49c7f8cc96f5a,25,Bands,density bands 50-90-99,0,0,random,prolific,2.097,1,0.662012529339874,0.669057278703696,0.354431386167791,0.14,0.10336917562724,0.467546802371811
P49c7f8cc96f5a,26,Violin,violin plot with median,0,1,wilkinson,prolific,5.251,3,0.564896551432185,0.0000709562214198378,0.0307213430335862,0.28,0.372293853073463,0.467546802371811
P49c7f8cc96f5a,27,Violin,violin plot with box,0,0,wilkinson,prolific,3.148,2,0.556041795754219,0.0444699427114927,0.369027044466286,0.16,0.230428893905192,0.467546802371811
P49c7f8cc96f5a,28,Violin,violin plot,0,0,density random,prolific,3.144,2,0.00000102281057645648,0.40878728529398,0.917228927314994,0.46,0.677624398073837,0.467546802371811
P49c7f8cc96f5a,29,Dot,dot plot with median,1,1,density random,prolific,4.807,1,0.0108015560348409,0.564016863083402,0.596323399168504,0.28,0.409982174688057,0.467546802371811
P49c7f8cc96f5a,30,Violin,violin plot with box,0,0,random,prolific,4.021,1,0.797546342708447,0.402414696606067,0.00707181728181043,0.16,0.179047619047619,0.467546802371811
P49c7f8cc96f5a,31,Dot,dot plot,1,0,wilkinson,prolific,2.147,3,0.359314554053033,0.206415395043551,0.0297554399098666,0.2,0.218752515090543,0.467546802371811
P49c7f8cc96f5a,32,Box,box plot with dots,1,1,beeswarm,prolific,3.303,1,0.333189266701764,0.628471985693822,0.0167986088351132,0.18,0.181010101010101,0.467546802371811
P49c7f8cc96f5a,33,Dot,dot plot,1,0,wilkinson,prolific,2.416,1,0.227469167291757,0.102161555228465,0.226125328486207,0.22,0.162653399668325,0.467546802371811
P49c7f8cc96f5a,34,Box,box plot,0,1,beeswarm,prolific,2.395,4,0.572483746004175,0.0000000178902395120417,0.00000100108685275277,0.38,0.403758389261745,0.467546802371811
P49c7f8cc96f5a,35,Dot,dot plot,1,0,random,prolific,3.615,3,0.765116176851519,0.463001642745891,0.0000436815082623824,0.18,0.236884955752212,0.467546802371811
P49c7f8cc96f5a,36,Violin,violin plot with median,0,1,density random,prolific,3.522,3,0.000000353310865675027,0.732688656418454,0.0238346978744762,0.52,0.628888888888889,0.467546802371811
P49c7f8cc96f5a,37,Box,box plot,0,1,density random,prolific,3.255,1,0.570088190047299,0.802637439232131,0.304295172103227,0.16,0.107114093959732,0.467546802371811
